# 微軟倉頡聯想詞詞表（多字詞），自官方 ChtChangjie.lex 解出
# columns: text <TAB> weight
# 44572 phrases
佇候	10517746
佇立	10096876
佇足	10763939
佈下	10637863
佈告	10343069
佈局	10763939
佈崗	9501328
佈施	9747522
佈景	10536430
佈滿	10682860
佈置	10414585
佈署	10589262
佈道	10478559
佈達	10724752
佈防	10168392
佈雷	10261990
位元	10517746
位子	10589262
位居	10711107
位差	9922198
位數	10653236
位於	10232366
位標	9255134
位移	10436667
位置	10763939
位能	10343069
低下	10433188
低估	10643442
低價	10751672
低凹	9651218
低分	10473682
低劣	10597304
低回	10237204
低地	9991010
低垂	10318282
低壓	9786708
低廉	10713311
低微	10176434
低於	10763939
低檔	10739152
低欄	9897412
低沈	10529770
低溫	10699966
低潮	10658074
低濕	9476541
低眉	8388607
低矮	10343069
低空	10581112
低窪	10411880
低等	10265450
低級	10547370
低緩	9946013
低聲	10366883
低胸	10511644
低能	10143605
低落	10726369
低處	10108899
低語	10032902
低賤	9722735
低迷	10672362
低陷	9365838
低階	10564476
低音	10292440
低頭	10686320
低飛	10207579
低首	9570140
住下	9676005
住嘴	9255134
住址	10517746
住宅	10554556
住家	10653236
住宿	10622091
住居	9811495
住屋	10436667
住慣	10015797
住戶	10738098
住房	10343069
住所	10478559
住手	8834264
住持	10391670
住民	10589262
住者	10290236
住處	10763939
住診	10232366
住院	10682860
佐料	10763939
佐理	10589262
佐證	9922198
佔位	9206534
佔住	9873598
佔到	10388066
佔去	10469145
佔地	10715338
佔據	10604635
佔有	10763939
佔用	10294468
佔領	10662506
何不	10673820
何以	10763939
何嘗	10474357
何在	10720550
何堪	10117460
何如	9807293
何妨	10567955
何干	9981970
何必	10623192
何故	10538330
何方	10439651
何時	10742632
何曾	10053486
何止	10175331
何況	10596202
何種	10697635
何等	10402840
何苦	10276764
何處	10649034
何謂	10363654
佚失	10763939
佛像	10763939
佛典	10025359
佛國	10096876
佛堂	10550575
佛塔	9429812
佛學	10741024
佛家	10483040
佛寶	8762748
佛寺	10666581
佛性	9604488
佛教	10581720
佛殿	10271552
佛法	10717210
佛祖	10407042
佛經	10517746
佛號	10365151
佛門	10611344
佛陀	10446230
佛頭	9944280
作主	10530804
作亂	9527170
作事	10297394
作人	10476796
作保	10258207
作假	10237622
作價	10592188
作出	10647933
作到	10316078
作古	10122717
作品	10755075
作嘔	10171318
作圖	9948040
作坊	10462509
作多	10679078
作夢	9980869
作好	10615104
作嫁	9591143
作客	10401740
作家	10668872
作對	10041638
作工	10147504
作廢	10096876
作弄	9876524
作弊	10385547
作怪	10351806
作息	10556107
作態	9455653
作成	10689114
作戰	10718264
作文	10543588
作料	9701846
作曲	10490755
作東	10278116
作案	10727678
作梗	10216316
作業	10698987
作樂	10334204
作法	10746080
作為	10763939
作物	10637186
作用	10736948
作畫	10580398
作祟	10568374
作秀	10626245
作答	10517746
作者	10658493
作聲	9170273
作莊	9795445
作詞	10069885
作詩	9750448
作證	10603754
作陪	10447877
作響	10194234
作風	10708702
佝僂	10763939
你們	9676005
你我	10763939
你等	10517746
你老	10653236
佣人	10763939
佣金	10343069
佩帶	10763939
佩服	10343069
佯裝	10343069
佯言	10763939
佳人	10547370
佳作	10732794
佳偶	10400940
佳冬	10699966
佳句	10032902
佳境	10343069
佳期	10126500
佳節	10502373
佳茗	9365838
佳話	10453772
佳賓	10207579
佳釀	9922198
佳里	10763939
佳音	10589262
佳餚	10628449
佳麗	10665260
併列	10207579
併合	9365838
併吞	10763939
併排	9786708
併案	10032902
併為	10343069
併發	10547370
併科	10699966
使令	10143605
使出	10713311
使到	9991010
使勁	10265450
使命	10628449
使喚	10366883
使女	8809478
使得	10763939
使然	10658074
使用	10564476
使節	10207579
使者	10411880
使臣	9230348
使館	10492959
侄女	10763939
侄子	10343069
來世	9429812
來信	10537656
來函	10593743
來到	10677050
來勢	10172873
來去	10301177
來回	10661278
來客	10382256
來年	10575617
來往	10722048
來得	10707416
來意	10329424
來攻	9634113
來日	10430857
來此	10611344
來歷	10054984
來歸	9715192
來源	10763939
來生	9908553
來由	10517746
來者	10453772
來臨	10750294
來著	9294322
來處	9850682
來訪	10736335
來賓	10645086
來路	10240408
來電	10628449
來頭	10271552
例假	10183764
例句	10048274
例外	10604635
例如	10763939
例子	10715338
例會	10388066
例行	10662506
例言	9873598
例證	10469145
例題	9206534
侍候	10653236
侍奉	10096876
侍女	10343069
侍從	10763939
侍者	10517746
侍衛	9676005
侏儒	10763939
供住	9811495
供佛	9501328
供出	10622091
供品	10096876
供售	10015797
